"['MV', 'Title', 'Artists', 'TW', 'LW', 'OC', 'PLS', 'PK']"
2022-11-07 to 2022-11-20,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
RE,MALA,"6ix9ine, Anuel AA",1,-,3,26,1
▼1,Vamos A Bailar,Sofía Martín,2,1,2,24,1
▼1,TOKE,Chanel,3,2,2,21,2
▲15,I'm Good (Blue),"David Guetta, Bebe Rexha",4,19,5,19,1
NEW,Yo Por Ti,"VIZE, Abraham Mateo, Sofía Martín",5,-,1,15,5
▼3,All The Stars (with SZA),"Kendrick Lamar, SZA",6,3,2,13,3
▲4,Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",6,10,3,13,4
NEW,Tóxica,"Sofía Martín, le Shuuk",8,-,1,12,8
▼4,Shirt,SZA,9,5,2,11,5
▼6,Si Quieres,Cariño,10,4,3,10,2
'=,"You're On Your Own, Kid",Taylor Swift,10,10,3,10,10²
RE,Say My Name,"David Guetta, Bebe Rexha, J Balvin",12,-,3,9,12
RE,I Follow Rivers,Eva B,13,-,11,8,1
▼7,Sway With Me (with GALXARA),"Saweetie, GALXARA",13,6,3,8,1
▲31,"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",13,44,7,8,1
▲12,La Corriente,"Marta Sango, Rakky Ripper",13,25,6,8,4
▲27,AN1MAL,Lola Indigo,17,44,9,7,2
▲27,DISCOTEKA,"Lola Indigo, Maria Becerra",17,44,5,7,3
▼12,Sweet Melody,Little Mix,19,7,3,6,7
RE,Bad Love,"Sean Paul, Ellie Goulding",19,-,3,6,7
RE,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),"Ariana Grande, Miley Cyrus, Lana Del Rey",19,-,16,6,1
▲6,NO MIENTEN - Tiësto Remix,"Becky G, Tiësto",19,25,6,6,2
▲25,mariposas,"sangiovanni, Aitana",19,44,9,6,4²
▲25,Quieres,"Aitana, Emilia, Ptazeta",19,44,6,6,1
RE,negro mate,Eva B,19,-,4,6,5
RE,LOKITA,"Natti Natasha, Maria Becerra",19,-,3,6,5²
RE,MONTERO (Call Me By Your Name),Lil Nas X,27,-,3,5,17
RE,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",27,-,4,5,7
RE,Midnight Sky,Miley Cyrus,27,-,11,5,5
▲17,Hot in It,"Tiësto, Charli XCX",27,44,7,5,1
▲17,Million Dollar Baby,Ava Max,27,44,5,5,4
RE,Otra Vez,Aitana,27,-,3,5,2
RE,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,27,-,2,5,18
▼20,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",27,7,4,5,1
RE,De Charco En Charco,"Samuraï, Belén Aguilera",27,-,2,5,18
NEW,Mal de Ojo,Anaju,27,-,1,5,27
RE,Dance To This (feat. Ariana Grande),"Troye Sivan, Ariana Grande",37,-,3,4,6
▼12,Super Freaky Girl,Nicki Minaj,37,25,6,4,8
RE,Besos Moja2,"Wisin & Yandel, ROSALÍA",37,-,3,4,4
RE,No Lie,"Sean Paul, Dua Lipa",40,-,4,3,24
▲4,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",40,44,13,3,2
RE,Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",40,-,14,3,1
RE,We're Good,Dua Lipa,40,-,10,3,6
RE,Fever,"Dua Lipa, Angèle",40,-,11,3,3
NEW,Un Día (One Day),"J Balvin, Dua Lipa, Bad Bunny, Tainy",40,-,1,3,40
RE,Live It Up - Official Song 2018 FIFA World Cup Russia,"Nicky Jam, Will Smith, Era Istrefi",40,-,7,3,4
NEW,Adrenalina,"Sofía Martín, Tiscore",40,-,1,3,40
▼15,Words (feat. Zara Larsson),"Alesso, Zara Larsson",40,25,5,3,2
▲4,Made You Look,Meghan Trainor,40,44,3,3,36
▼15,Lavender Haze,Taylor Swift,40,25,3,3,25
RE,Karma,Taylor Swift,40,-,2,3,40
NEW,Tukoh Taka - Official FFF Anthem,"Nicki Minaj, Maluma, Myriam Fares, FIFA Sound",40,-,1,3,40
RE,No Broken Hearts (feat. Nicki Minaj),"Bebe Rexha, Nicki Minaj",53,-,13,2,3
RE,Break My Heart,Dua Lipa,53,-,5,2,22
RE,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",53,-,7,2,8
NEW,That Kind Of Woman,Dua Lipa,53,-,1,2,53
NEW,Not My Problem (feat. JID),"Dua Lipa, JID",53,-,1,2,53
RE,If It Ain’t Me,Dua Lipa,53,-,2,2,49
▼34,No,Little Mix,53,19,3,2,19
▼28,Maroon,Taylor Swift,53,25,3,2,25
▼28,Anti-Hero,Taylor Swift,53,25,3,2,25
▼34,Midnight Rain,Taylor Swift,53,19,3,2,19
,,,,,,,
2022-10-24 to 2022-11-06,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Vamos A Bailar,Sofía Martín,1,-,1,71,1
NEW,TOKE,Chanel,2,-,1,34,2
NEW,All The Stars (with SZA),"Kendrick Lamar, SZA",3,-,1,24,3
▼2,Si Quieres,Cariño,4,2,2,17,2
NEW,Shirt,SZA,5,-,1,14,5
▼5,Sway With Me (with GALXARA),"Saweetie, GALXARA",6,1,2,8,1
RE,All I Want for Christmas Is You,Mariah Carey,7,-,4,7,7²
▲42,Sweet Melody,Little Mix,7,49,2,7,7
▼2,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",7,5,3,7,1
NEW,No More Sad Songs (feat. Machine Gun Kelly),"Little Mix, Machine Gun Kelly",10,-,1,6,10
▲30,Secret Love Song (feat. Jason Derulo),"Little Mix, Jason Derulo",10,40,2,6,10
NEW,Love (Sweet Love),Little Mix,10,-,1,6,10
▼6,Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",10,4,2,6,4
▲8,"You're On Your Own, Kid",Taylor Swift,10,18,2,6,10
NEW,Wings,Little Mix,15,-,1,5,15
RE,Confetti (feat. Saweetie),"Little Mix, Saweetie",15,-,11,5,3
NEW,Power (feat. Stormzy),"Little Mix, Stormzy",15,-,1,5,15
RE,Woman Like Me (feat. Nicki Minaj),"Little Mix, Nicki Minaj",15,-,7,5,7
RE,Shout Out to My Ex,Little Mix,19,-,2,4,19
NEW,Black Magic,Little Mix,19,-,1,4,19
NEW,Good Days,SZA,19,-,1,4,19
▲21,No,Little Mix,19,40,2,4,19
▼16,I'm Good (Blue),"David Guetta, Bebe Rexha",19,3,4,4,1
▲9,Midnight Rain,Taylor Swift,19,28,2,4,19
▲24,Break Up Song,Little Mix,25,49,2,3,25
NEW,Touch,Little Mix,25,-,1,3,25
▲24,"Secret Love Song, Pt. II",Little Mix,25,49,2,3,25
▲24,Reggaetón Lento (Remix),"CNCO, Little Mix",25,49,3,3,25
NEW,Cúrame,Rauw Alejandro,25,-,1,3,25
NEW,Fuego,Eleni Foureira,25,-,1,3,25
RE,Fiebre (Prod. King DouDou),Bad Gyal,25,-,7,3,4
NEW,LA COMBI VERSACE (feat. Tokischa),"ROSALÍA, Tokischa",25,-,1,3,25
▼15,Words (feat. Zara Larsson),"Alesso, Zara Larsson",25,10,4,3,2
▼15,NO MIENTEN - Tiësto Remix,"Becky G, Tiësto",25,10,5,3,2
RE,Sexy,Bad Gyal,25,-,3,3,8
▲1,Super Freaky Girl,Nicki Minaj,25,26,5,3,8
▼13,La Corriente,"Marta Sango, Rakky Ripper",25,12,5,3,4
▲24,Lavender Haze,Taylor Swift,25,49,2,3,25
▲24,Maroon,Taylor Swift,25,49,2,3,25
▲15,Anti-Hero,Taylor Swift,25,40,2,3,25
NEW,Question...?,Taylor Swift,25,-,1,3,25
NEW,For the Night,"Chlöe, Latto",25,-,1,3,25
NEW,PUEDES CONTAR CONMIGO,"María Escarmiento, BLNCO, detunedfreq",25,-,1,3,25
RE,Roman's Revenge,Little Mix,44,-,2,2,44
RE,Kiss My (Uh Oh),"Anne-Marie, Little Mix",44,-,7,2,1
NEW,DNA,Little Mix,44,-,1,2,44
NEW,Wasabi,Little Mix,44,-,1,2,44
RE,Need to Know,Doja Cat,44,-,9,2,9
RE,I Don't Do Drugs (feat. Ariana Grande),"Doja Cat, Ariana Grande",44,-,10,2,5
RE,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",44,-,12,2,2
NEW,Antes Muerta Que Sencilla,María Isabel,44,-,1,2,44
▼4,Cake,Melanie Martinez,44,40,6,2,5
RE,Yo Perreo Sola,Bad Bunny,44,-,4,2,43
RE,Modo Avión,"Cariño, Natalia Lacunza",44,-,2,2,42
NEW,TKN (feat. Travis Scott),"ROSALÍA, Travis Scott",44,-,1,2,44
RE,Zorra - Remix,"Bad Gyal, Rauw Alejandro",44,-,2,2,43
NEW,¡No Me Toques Las Palmas Que Me Conozco!,María Isabel,44,-,1,2,44
NEW,Heartbreak Anthem (feat. David Guetta & Little Mix),"Galantis, David Guetta, Little Mix",44,-,1,2,44
NEW,Mirándote,Rvfv,44,-,1,2,44
RE,¿Qué Más Quieres de Mí?,Marta Sango,44,-,10,2,1
NEW,Cut You Off,Little Mix,44,-,1,2,44
RE,Musica Ligera,Ana Mena,44,-,8,2,3
NEW,Febrero,LUNA KI,44,-,1,2,44
RE,Halo (feat. PIA MARIA),"LUM!X, PIA MARIA",44,-,7,2,1
RE,NO MIENTEN,Becky G,44,-,2,2,44
RE,Andrea,"Bad Bunny, Buscabulla",44,-,7,2,8
RE,Quiero Decirte,"Abraham Mateo, Ana Mena",44,-,6,2,16
RE,La Prendo,Bad Gyal,44,-,3,2,12
▼18,mariposas,"sangiovanni, Aitana",44,26,8,2,4²
